역번호,역사명,노선명,역위도,역경도,환승역구분,데이터기준일자
95,다대포해수욕장역,부산도시철도 1호선,35.04867,128.9641,일반역,2021-02-26
96,다대포항역,부산도시철도 1호선,35.05782,128.9713,일반역,2021-02-26
97,낫개역,부산도시철도 1호선,35.065265,128.979873,일반역,2021-02-26
98,신장림역,부산도시철도 1호선,35.074433,128.977041,일반역,2021-02-26
99,장림역,부산도시철도 1호선,35.08109,128.9775,일반역,2021-02-26
100,동매역,부산도시철도 1호선,35.0899,128.9742,일반역,2021-02-26
101,신평역,부산도시철도 1호선,35.095179,128.960564,일반역,2021-02-26
102,하단역,부산도시철도 1호선,35.10618,128.966803,일반역,2021-02-26
103,당리역,부산도시철도 1호선,35.103532,128.973846,일반역,2021-02-26
104,사하역,부산도시철도 1호선,35.099847,128.9831,일반역,2021-02-26
105,괴정역,부산도시철도 1호선,35.099816,128.992144,일반역,2021-02-26
106,대티역,부산도시철도 1호선,35.103126,128.999936,일반역,2021-02-26
107,서대신역,부산도시철도 1호선,35.110937,129.012178,일반역,2021-02-26
108,동대신역,부산도시철도 1호선,35.110452,129.017684,일반역,2021-02-26
109,토성역,부산도시철도 1호선,35.100727,129.019776,일반역,2021-02-26
110,자갈치역,부산도시철도 1호선,35.097372,129.02667,일반역,2021-02-26
111,남포역,부산도시철도 1호선,35.097953,129.034869,일반역,2021-02-26
112,중앙역,부산도시철도 1호선,35.103837,129.036371,일반역,2021-02-26
113,부산역,부산도시철도 1호선,35.115224,129.0397,일반역,2021-02-26
114,초량역,부산도시철도 1호선,35.121168,129.043039,일반역,2021-02-26
115,부산진역,부산도시철도 1호선,35.127787,129.047894,일반역,2021-02-26
116,좌천역,부산도시철도 1호선,35.134361,129.054455,일반역,2021-02-26
117,범일역,부산도시철도 1호선,35.140952,129.059352,일반역,2021-02-26
118,범내골역,부산도시철도 1호선,35.1474,129.059261,일반역,2021-02-26
119,서면역(1호선),부산도시철도 1호선,35.158282,129.059556,환승역,2021-02-26
120,부전역,부산도시철도 1호선,35.162587,129.062952,일반역,2021-02-26
121,양정역,부산도시철도 1호선,35.173122,129.071366,일반역,2021-02-26
122,시청역,부산도시철도 1호선,35.179837,129.076642,일반역,2021-02-26
123,연산역,부산도시철도 1호선,35.186168,129.081534,환승역,2021-02-26
124,교대역,부산도시철도 1호선,35.19605,129.080035,일반역,2021-02-26
125,동래역,부산도시철도 1호선,35.205641,129.078506,일반역,2021-02-26
126,명륜역,부산도시철도 1호선,35.212551,129.079659,일반역,2021-02-26
127,온천장역,부산도시철도 1호선,35.220249,129.086437,일반역,2021-02-26
128,부산대역,부산도시철도 1호선,35.229609,129.089358,일반역,2021-02-26
129,장전역,부산도시철도 1호선,35.23809095,129.088111,일반역,2021-02-26
130,구서역,부산도시철도 1호선,35.247407,129.091327,일반역,2021-02-26
131,두실역,부산도시철도 1호선,35.256959,129.091386,일반역,2021-02-26
132,남산역,부산도시철도 1호선,35.265404,129.092496,일반역,2021-02-26
133,범어사역,부산도시철도 1호선,35.273105,129.092679,일반역,2021-02-26
134,노포역,부산도시철도 1호선,35.28468657,129.094967,일반역,2021-02-26
201,장산역,부산도시철도 2호선,35.169914,129.176986,일반역,2021-02-26
202,중동역,부산도시철도 2호선,35.1667,129.168604,일반역,2021-02-26
203,해운대역,부산도시철도 2호선,35.163672,129.158908,일반역,2021-02-26
204,동백역,부산도시철도 2호선,35.161484,129.147897,일반역,2021-02-26
205,시립미술관역,부산도시철도 2호선,35.168844,129.138933,일반역,2021-02-26
206,센텀시티역,부산도시철도 2호선,35.168827,129.131745,일반역,2021-02-26
207,민락역,부산도시철도 2호선,35.167228,129.121909,일반역,2021-02-26
208,수영역,부산도시철도 2호선,35.165227,129.114713,환승역,2021-02-26
209,광안역,부산도시철도 2호선,35.157916,129.113168,일반역,2021-02-26
210,금련산역,부산도시철도 2호선,35.149771,129.110961,일반역,2021-02-26
211,남천역,부산도시철도 2호선,35.142139,129.107978,일반역,2021-02-26
212,경성대부경대역,부산도시철도 2호선,35.137585,129.100548,일반역,2021-02-26
213,대연역,부산도시철도 2호선,35.135153,129.092161,일반역,2021-02-26
214,못골역,부산도시철도 2호선,35.134731,129.084415,일반역,2021-02-26
215,지게골역,부산도시철도 2호선,35.135574,129.074365,일반역,2021-02-26
216,문현역,부산도시철도 2호선,35.139151,129.067399,일반역,2021-02-26
217,국제금융센터부산은행역,부산도시철도 2호선,35.145817,129.066755,일반역,2021-02-26
218,전포역,부산도시철도 2호선,35.153102,129.065374,일반역,2021-02-26
219,서면역(2호선),부산도시철도 2호선,35.15774,129.059084,환승역,2021-02-26
220,부암역,부산도시철도 2호선,35.157444,129.050185,일반역,2021-02-26
221,가야역,부산도시철도 2호선,35.155883,129.042817,일반역,2021-02-26
222,동의대역,부산도시철도 2호선,35.153986,129.03275,일반역,2021-02-26
223,개금역,부산도시철도 2호선,35.153284,129.020533,일반역,2021-02-26
224,냉정역,부산도시철도 2호선,35.151254,129.012255,일반역,2021-02-26
225,주례역,부산도시철도 2호선,35.150508,129.003077,일반역,2021-02-26
226,감전역,부산도시철도 2호선,35.155528,128.991146,일반역,2021-02-26
227,사상역,부산도시철도 2호선,35.162361,128.984621,환승역,2021-02-26
228,덕포역,부산도시철도 2호선,35.173754,128.983955,일반역,2021-02-26
229,모덕역,부산도시철도 2호선,35.180366,128.985621,일반역,2021-02-26
230,모라역,부산도시철도 2호선,35.189663,128.988655,일반역,2021-02-26
231,구남역,부산도시철도 2호선,35.196804,128.994928,일반역,2021-02-26
232,구명역,부산도시철도 2호선,35.20252,128.999322,일반역,2021-02-26
233,덕천역(2호선),부산도시철도 2호선,35.210219,129.005673,환승역,2021-02-26
234,수정역,부산도시철도 2호선,35.223356,129.009198,일반역,2021-02-26
235,화명역,부산도시철도 2호선,35.236278,129.013918,일반역,2021-02-26
236,율리역,부산도시철도 2호선,35.246714,129.012918,일반역,2021-02-26
237,동원역,부산도시철도 2호선,35.258656,129.012392,일반역,2021-02-26
238,금곡역,부산도시철도 2호선,35.267248,129.0169054,일반역,2021-02-26
239,호포역,부산도시철도 2호선,35.280406,129.017097,일반역,2021-02-26
240,증산역,부산도시철도 2호선,35.308302,129.010246,일반역,2021-02-26
241,부산대양산캠퍼스역,부산도시철도 2호선,35.316955,129.0139408,일반역,2021-02-26
242,남양산역,부산도시철도 2호선,35.325359,129.019457,일반역,2021-02-26
243,양산역,부산도시철도 2호선,35.33872773,129.026391,일반역,2021-02-26
301,수영역(3호선),부산도시철도 3호선,35.167753,129.11459,환승역,2021-02-26
302,망미역,부산도시철도 3호선,35.171528,129.108225,일반역,2021-02-26
303,배산역,부산도시철도 3호선,35.173504,129.095498,일반역,2021-02-26
304,물만골역,부산도시철도 3호선,35.176808,129.085748,일반역,2021-02-26
305,연산역(3호선),부산도시철도 3호선,35.186173,129.081526,환승역,2021-02-26
306,거제역,부산도시철도 3호선,35.188589,129.073941,일반역,2021-02-26
307,종합운동장역,부산도시철도 3호선,35.19125,129.067504,일반역,2021-02-26
308,사직역,부산도시철도 3호선,35.198998,129.064996,일반역,2021-02-26
309,미남역(3호선),부산도시철도 3호선,35.205503,129.068061,환승역,2021-02-26
310,만덕역,부산도시철도 3호선,35.213,129.036527,일반역,2021-02-26
311,남산정역,부산도시철도 3호선,35.21334,129.023928,일반역,2021-02-26
312,숙등역,부산도시철도 3호선,35.21197,129.012749,일반역,2021-02-26
313,덕천역(3호선),부산도시철도 3호선,35.210215,129.005671,환승역,2021-02-26
314,구포역,부산도시철도 3호선,35.206697,128.996366,일반역,2021-02-26
315,강서구청역,부산도시철도 3호선,35.211247,128.981756,일반역,2021-02-26
316,체육공원역,부산도시철도 3호선,35.212577,128.9696515,일반역,2021-02-26
317,대저역,부산도시철도 3호선,35.213386,128.9610488,일반역,2021-02-26
401,미남역(4호선),부산도시철도 4호선,35.207116,129.069172,환승역,2021-02-26
402,동래역(4호선),부산도시철도 4호선,35.204834,129.077082,환승역,2021-02-26
403,수안역,부산도시철도 4호선,35.201828,129.083806,일반역,2021-02-26
404,낙민역,부산도시철도 4호선,35.200254,129.090774,일반역,2021-02-26
405,충렬사역,부산도시철도 4호선,35.199859,129.097636,일반역,2021-02-26
406,명장역,부산도시철도 4호선,35.205143,129.101517,일반역,2021-02-26
407,서동역,부산도시철도 4호선,35.213333,129.107683,일반역,2021-02-26
408,금사역,부산도시철도 4호선,35.215829,129.115153,일반역,2021-02-26
409,반여농산물시장역,부산도시철도 4호선,35.217779,129.124061,일반역,2021-02-26
410,석대역,부산도시철도 4호선,35.21811162,129.137179,일반역,2021-02-26
411,영산대역,부산도시철도 4호선,35.225777,129.146149,일반역,2021-02-26
412,윗반송역,부산도시철도 4호선,35.232506,129.154024,일반역,2021-02-26
413,고촌역,부산도시철도 4호선,35.236031,129.1604437,일반역,2021-02-26
414,안평역,부산도시철도 4호선,35.237363,129.171823,일반역,2021-02-26
